row_id concept1 concept1_nbr_inst concept1_nbr_unique_instances concept2 concept2_nbr_inst concept2_nbr_unique_instances inter_no_sameas inter_with_sameas union_no_sameas union_with_sameas jacc_no_sameas jacc_with_sameas isSubset_LOD isSubset_no_sameAs isSubset_with_sameas diff_with_sameas
91 http://usefulinc.com/ns/doap#Project 112639 112628 http://xmlns.com/foaf/0.1/Project 4484 4484 5 5 117118 117107 0.0 0.0 True False False 0
92 http://www.aktors.org/ontology/portal#Journal 112183 112183 http://swrc.ontoware.org/ontology#InCollection 32684 32684 0 0 144867 144867 0.0 0.0 False False False 0
93 http://dbpedia.org/ontology/Lake 103699 99190 http://schema.org/LakeBodyOfWater 101775 97282 101775 97282 103699 99190 0.9814 0.9808 False True True -0.06
94 http://dbpedia.org/ontology/Mountain 100963 87912 http://schema.org/Mountain 99146 86107 99146 86107 100963 87912 0.982 0.9795 False True True -0.25
95 http://dbpedia.org/ontology/TelevisionEpisode 95595 93637 http://schema.org/TVEpisode 21711 19755 21711 19755 95595 93637 0.2271 0.211 False True True -7.09
96 http://dbpedia.org/ontology/School 75561 75330 http://schema.org/School 69027 68797 69027 68797 75561 75330 0.9135 0.9133 False True True -0.02
97 http://dbpedia.org/ontology/Scientist 72580 59455 http://lod.taxonconcept.org/ontology/txn.owl#Scientist 33 33 7 7 72606 59481 0.0001 0.0001 False False False 0
98 http://dbpedia.org/ontology/ChemicalSubstance 59720 43710 http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#ChemicalObject 25733 25732 25733 25732 59720 43710 0.4309 0.5887 False True True 36.62
99 http://dbpedia.org/ontology/University 54521 47081 http://schema.org/CollegeOrUniversity 52661 45226 52228 44799 54954 47508 0.9504 0.943 False False False -0.78
100 http://schema.org/CollegeOrUniversity 52661 45226 http://dbpedia.org/ontology/College 355 353 277 275 52739 45304 0.0053 0.0061 False False False 15.09
101 http://www.holygoat.co.uk/owl/redwood/0.1/tags/Tag 48614 48614 http://bioinfo.icapture.ubc.ca/Resources/SemanticTagging/Tag 2 2 0 0 48616 48616 0.0 0.0 False False False 0
102 http://linkedgeodata.org/ontology/Library 48188 48188 http://schema.org/Library 3392 3341 0 0 51580 51529 0.0 0.0 False False False 0
103 http://linkedgeodata.org/ontology/Airport 44084 44084 http://dbpedia.org/ontology/Airport 42929 36140 0 0 87013 80224 0.0 0.0 False False False 0
104 http://dbpedia.org/ontology/Airport 42929 36140 http://schema.org/Airport 41567 34792 41567 34792 42929 36140 0.9683 0.9627 False True True -0.58
105 http://umbel.org/umbel/sc/Person 40983 40983 http://sw.opencyc.org/2008/06/10/concept/en/Person 6 6 0 0 40989 40989 0.0 0.0 False False False 0
106 http://data.linkedct.org/vocab/resource/city 40758 40758 http://umbel.org/umbel/sc/City 7211 7211 0 0 47969 47969 0.0 0.0 False False False 0
107 http://dbpedia.org/ontology/HistoricPlace 36050 36018 http://schema.org/LandmarksOrHistoricalBuildings 27084 26697 14999 14967 48135 47748 0.3116 0.3135 False False False 0.61
108 http://linkedgeodata.org/ontology/Monument 31770 31770 http://dbpedia.org/ontology/Monument 18702 18507 0 0 50472 50277 0.0 0.0 False False False 0
109 http://dbpedia.org/ontology/Language 29959 21972 http://schema.org/Language 29475 21490 29475 21490 29959 21972 0.9838 0.9781 False True True -0.58
110 http://dbpedia.org/ontology/Stadium 29722 21845 http://linkedgeodata.org/ontology/Stadium 15100 15100 0 0 44822 36945 0.0 0.0 False False False 0
111 http://dbpedia.org/ontology/Stadium 29722 21845 http://schema.org/StadiumOrArena 29288 20700 28451 20591 30559 21954 0.931 0.9379 False False False 0.74
112 http://linkedgeodata.org/ontology/PowerStation 29699 29699 http://dbpedia.org/ontology/PowerStation 3732 3731 0 0 33431 33430 0.0 0.0 False False False 0
113 http://schema.org/Language 29475 21490 http://www.lingvoj.org/ontology#Lingvo 522 522 0 8 29997 22004 0.0 0.0004 False False False 9999
114 http://swrc.ontoware.org/ontology#Proceedings 29346 29346 http://lsdis.cs.uga.edu/projects/semdis/opus#Proceedings 9900 9900 0 0 39246 39246 0.0 0.0 False False False 0
