row_id concept1 concept1_nbr_inst concept1_nbr_unique_instances concept2 concept2_nbr_inst concept2_nbr_unique_instances inter_no_sameas inter_with_sameas union_no_sameas union_with_sameas jacc_no_sameas jacc_with_sameas isSubset_LOD isSubset_no_sameAs isSubset_with_sameas diff_with_sameas
128 http://sw.opencyc.org/2008/06/10/concept/en/TemporalThing 25106 22773 http://umbel.org/umbel/ac/TemporalThing 9 8 0 4 25115 22777 0.0 0.0002 False False False 9999
129 http://purl.org/ontology/bibo/Conference 24847 24847 http://umbel.org/umbel/sc/Conference 76 76 0 0 24923 24923 0.0 0.0 False False False 0
130 http://dbpedia.org/ontology/Museum 23785 17749 http://schema.org/Museum 15974 11205 15974 11205 23785 17749 0.6716 0.6313 False True True -6.0
131 http://linkedgeodata.org/ontology/Mall 21957 21957 http://dbpedia.org/ontology/ShoppingMall 8731 6999 0 0 30688 28956 0.0 0.0 False False False 0
132 http://purl.org/ontology/bibo/Newspaper 18827 18812 http://umbel.org/umbel/sc/NewspaperSeries 231 231 0 0 19058 19043 0.0 0.0 False False False 0
133 http://linkedgeodata.org/ontology/Theatre 18777 18777 http://dbpedia.org/ontology/Theatre 2994 2530 0 0 21771 21307 0.0 0.0 False False False 0
134 http://dbpedia.org/ontology/Song 18607 15133 http://schema.org/MusicRecording 15389 12288 15389 12288 18607 15133 0.8271 0.812 False True True -1.83
135 http://dbpedia.org/ontology/Country 18385 8750 http://linkedgeodata.org/ontology/Country 229 57 0 12 18614 8795 0.0 0.0014 False False False 9999
136 http://dbpedia.org/ontology/Country 18385 8750 http://schema.org/Country 17249 7896 17249 7896 18385 8750 0.9382 0.9024 False True True -3.82
137 http://dbpedia.org/ontology/Country 18385 8750 http://rdf.insee.fr/geo/Pays 1 1 0 1 18386 8750 0.0 0.0001 False False True 9999
138 http://schema.org/TelevisionStation 17543 11894 http://dbpedia.org/ontology/TelevisionStation 17543 11894 17543 11894 17543 11894 1.0 1.0 False True True 0
139 http://schema.org/Country 17249 7896 http://rdf.insee.fr/geo/Pays 1 1 0 1 17250 7896 0.0 0.0001 False False True 9999
140 http://sw.opencyc.org/2008/06/10/concept/en/ExistingObjectType 17203 16921 http://umbel.org/umbel/ac/ExistingObjectType 5592 5054 0 1862 22795 20113 0.0 0.0926 False False False 9999
141 http://purl.org/linked-data/cube#DataSet 16657 16657 http://purl.org/NET/scovo#Dataset 21 21 0 0 16678 16678 0.0 0.0 False False False 0
142 http://umbel.org/umbel/ac/Artifact 14809 14743 http://sw.opencyc.org/2008/06/10/concept/en/Artifact 505 414 0 0 15314 15157 0.0 0.0 False False False 0
143 http://sw.opencyc.org/2008/06/10/concept/en/PartiallyTangible 13816 13321 http://umbel.org/umbel/ac/PartiallyTangible 1 1 0 0 13817 13322 0.0 0.0 False False False 0
144 http://swrc.ontoware.org/ontology#Book 13772 13620 http://lsdis.cs.uga.edu/projects/semdis/opus#Book 1335 1335 0 0 15107 14955 0.0 0.0 False False False 0
145 http://sw.opencyc.org/2008/06/10/concept/en/Place 13482 13092 http://umbel.org/umbel/sc/Place 7475 7194 0 7 20957 20279 0.0 0.0003 False False False 9999
146 http://sw.opencyc.org/2008/06/10/concept/en/GeographicalRegion 13185 12831 http://umbel.org/umbel/sc/GeographicalRegion 6843 6550 0 14 20028 19367 0.0 0.0007 False False False 9999
147 http://sw.opencyc.org/2008/06/10/concept/en/Organization 11654 10537 http://umbel.org/umbel/sc/Organization 4900 4883 0 23 16554 15397 0.0 0.0015 False False False 9999
148 http://dbpedia.org/ontology/Hospital 11241 8368 http://schema.org/Hospital 10776 8026 10776 8026 11241 8368 0.9586 0.9591 False True True 0.05
