concept_id;concept_uri;nb_instances;inference;comment
346;http://sw.opencyc.org/2008/06/10/concept/en/BallTypeByGame;2;(with;inf)
351;http://umbel.org/umbel/ac/BedTypeBySize;2;(no;inf)
351;http://umbel.org/umbel/ac/BedTypeBySize;2;(with;inf)
355;http://umbel.org/umbel/ac/Beliefs_Attitude_Topic;2;(no;inf)
355;http://umbel.org/umbel/ac/Beliefs_Attitude_Topic;2;(with;inf)
358;http://sw.opencyc.org/2008/06/10/concept/en/BidTypeByStatus;2;(no;inf)
358;http://sw.opencyc.org/2008/06/10/concept/en/BidTypeByStatus;2;(with;inf)
364;http://sw.opencyc.org/2008/06/10/concept/en/BiologicalSubclass;2;(no;inf)
364;http://sw.opencyc.org/2008/06/10/concept/en/BiologicalSubclass;2;(with;inf)
381;http://umbel.org/umbel/ac/BloodTypeByRhFactor;2;(no;inf)
381;http://umbel.org/umbel/ac/BloodTypeByRhFactor;2;(with;inf)
382;http://sw.opencyc.org/2008/06/10/concept/en/BloodTypeByRhFactor;2;(no;inf)
382;http://sw.opencyc.org/2008/06/10/concept/en/BloodTypeByRhFactor;2;(with;inf)
411;http://umbel.org/umbel/ac/CollectionTypeType;2;(no;inf)
411;http://umbel.org/umbel/ac/CollectionTypeType;2;(with;inf)
412;http://sw.opencyc.org/2008/06/10/concept/en/CollectionTypeType;2;(no;inf)
412;http://sw.opencyc.org/2008/06/10/concept/en/CollectionTypeType;2;(with;inf)
415;http://umbel.org/umbel/ac/Comparisons_Quantity_Topic;2;(no;inf)
415;http://umbel.org/umbel/ac/Comparisons_Quantity_Topic;2;(with;inf)
416;http://sw.opencyc.org/2008/06/10/concept/en/Comparisons_Quantity_Topic;2;(no;inf)
416;http://sw.opencyc.org/2008/06/10/concept/en/Comparisons_Quantity_Topic;2;(with;inf)
425;http://umbel.org/umbel/ac/ConsumingFood_Food_Topic;2;(no;inf)
425;http://umbel.org/umbel/ac/ConsumingFood_Food_Topic;2;(with;inf)
443;http://umbel.org/umbel/ac/ElementsAndAtoms_Chemistry_Topic;2;(no;inf)
443;http://umbel.org/umbel/ac/ElementsAndAtoms_Chemistry_Topic;2;(with;inf)
452;http://sw.opencyc.org/2008/06/10/concept/en/FieldFormats_Db_Topic;2;(no;inf)
452;http://sw.opencyc.org/2008/06/10/concept/en/FieldFormats_Db_Topic;2;(with;inf)
461;http://umbel.org/umbel/ac/Functions_Fundamental_Topic;2;(no;inf)
461;http://umbel.org/umbel/ac/Functions_Fundamental_Topic;2;(with;inf)
467;http://umbel.org/umbel/ac/GeographicalAgent;2;(no;inf)
467;http://umbel.org/umbel/ac/GeographicalAgent;2;(with;inf)
489;http://umbel.org/umbel/ac/LossOfUserRights_PossTransfer_Topic;2;(no;inf)
489;http://umbel.org/umbel/ac/LossOfUserRights_PossTransfer_Topic;2;(with;inf)
494;http://sw.opencyc.org/2008/06/10/concept/en/MedicalCareProviders_GeneralMedicine_Topic;2;(no;inf)
494;http://sw.opencyc.org/2008/06/10/concept/en/MedicalCareProviders_GeneralMedicine_Topic;2;(with;inf)
498;http://sw.opencyc.org/2008/06/10/concept/en/Metal_Chemistry_Topic;2;(no;inf)
498;http://sw.opencyc.org/2008/06/10/concept/en/Metal_Chemistry_Topic;2;(with;inf)
505;http://umbel.org/umbel/ac/MoneyAndPrice_PossTransfer_Topic;2;(no;inf)
505;http://umbel.org/umbel/ac/MoneyAndPrice_PossTransfer_Topic;2;(with;inf)
527;http://umbel.org/umbel/ac/Organization_Topic;2;(no;inf)
527;http://umbel.org/umbel/ac/Organization_Topic;2;(with;inf)
536;http://sw.opencyc.org/2008/06/10/concept/en/PlantsByBotanicalTaxonomy_Biology_Topic;2;(no;inf)
536;http://sw.opencyc.org/2008/06/10/concept/en/PlantsByBotanicalTaxonomy_Biology_Topic;2;(with;inf)
540;http://sw.opencyc.org/2008/06/10/concept/en/PopulationClassificationTerms_Social_Topic;2;(no;inf)
540;http://sw.opencyc.org/2008/06/10/concept/en/PopulationClassificationTerms_Social_Topic;2;(with;inf)
558;http://sw.opencyc.org/2008/06/10/concept/en/RelationshipsAmongOrganizations_Organization_Topic;2;(no;inf)
558;http://sw.opencyc.org/2008/06/10/concept/en/RelationshipsAmongOrganizations_Organization_Topic;2;(with;inf)
559;http://umbel.org/umbel/ac/SetOrCollectionType;2;(no;inf)
559;http://umbel.org/umbel/ac/SetOrCollectionType;2;(with;inf)
562;http://sw.opencyc.org/2008/06/10/concept/en/Solubility_Material_Topic;2;(no;inf)
562;http://sw.opencyc.org/2008/06/10/concept/en/Solubility_Material_Topic;2;(with;inf)
594;http://sw.opencyc.org/2008/06/10/concept/en/UnitedStates_Geography_Topic;2;(no;inf)
594;http://sw.opencyc.org/2008/06/10/concept/en/UnitedStates_Geography_Topic;2;(with;inf)
606;http://sw.opencyc.org/2008/06/10/concept/en/AccountType;2;(no;inf)
606;http://sw.opencyc.org/2008/06/10/concept/en/AccountType;2;(with;inf)
611;http://umbel.org/umbel/sc/AcidType_Lewis;2;(no;inf)
611;http://umbel.org/umbel/sc/AcidType_Lewis;2;(with;inf)
622;http://sw.opencyc.org/2008/06/10/concept/en/AlkalineEarthMetalElementType;2;(no;inf)
622;http://sw.opencyc.org/2008/06/10/concept/en/AlkalineEarthMetalElementType;2;(with;inf)
638;http://sw.opencyc.org/2008/06/10/concept/en/Artist;2;(no;inf)
646;http://sw.opencyc.org/2008/06/10/concept/en/Astronomer;2;(no;inf)
646;http://sw.opencyc.org/2008/06/10/concept/en/Astronomer;2;(with;inf)
653;http://umbel.org/umbel/sc/AtmosphericLayer;2;(no;inf)
653;http://umbel.org/umbel/sc/AtmosphericLayer;2;(with;inf)
663;http://umbel.org/umbel/sc/AxialPoleOfPlanet;2;(no;inf)
663;http://umbel.org/umbel/sc/AxialPoleOfPlanet;2;(with;inf)
667;http://umbel.org/umbel/sc/BankingGame;2;(no;inf)
667;http://umbel.org/umbel/sc/BankingGame;2;(with;inf)
685;http://umbel.org/umbel/sc/BiologicalAgentType;2;(no;inf)
685;http://umbel.org/umbel/sc/BiologicalAgentType;2;(with;inf)
712;http://sw.opencyc.org/2008/06/10/concept/en/Brewery;2;(no;inf)
712;http://sw.opencyc.org/2008/06/10/concept/en/Brewery;2;(with;inf)
722;http://sw.opencyc.org/2008/06/10/concept/en/Buying;2;(no;inf)
722;http://sw.opencyc.org/2008/06/10/concept/en/Buying;2;(with;inf)
723;http://umbel.org/umbel/sc/CalendarCentury;2;(no;inf)
723;http://umbel.org/umbel/sc/CalendarCentury;2;(with;inf)
741;http://umbel.org/umbel/sc/ChemicalPurity;2;(no;inf)
741;http://umbel.org/umbel/sc/ChemicalPurity;2;(with;inf)
742;http://sw.opencyc.org/2008/06/10/concept/en/ChemicalPurity;2;(no;inf)
742;http://sw.opencyc.org/2008/06/10/concept/en/ChemicalPurity;2;(with;inf)
746;http://sw.opencyc.org/2008/06/10/concept/en/Chemist;2;(no;inf)
746;http://sw.opencyc.org/2008/06/10/concept/en/Chemist;2;(with;inf)
749;http://umbel.org/umbel/sc/ChromaticColor;2;(no;inf)
749;http://umbel.org/umbel/sc/ChromaticColor;2;(with;inf)
753;http://sw.opencyc.org/2008/06/10/concept/en/ClimateConcept;2;(no;inf)
753;http://sw.opencyc.org/2008/06/10/concept/en/ClimateConcept;2;(with;inf)
760;http://umbel.org/umbel/sc/CollegeSport;2;(no;inf)
760;http://umbel.org/umbel/sc/CollegeSport;2;(with;inf)
813;http://umbel.org/umbel/sc/DisasterEvent;2;(no;inf)
813;http://umbel.org/umbel/sc/DisasterEvent;2;(with;inf)
814;http://sw.opencyc.org/2008/06/10/concept/en/DisasterEvent;2;(no;inf)
816;http://sw.opencyc.org/2008/06/10/concept/en/DomesticPet;2;(no;inf)
816;http://sw.opencyc.org/2008/06/10/concept/en/DomesticPet;2;(with;inf)
840;http://sw.opencyc.org/2008/06/10/concept/en/Engineer;2;(no;inf)
840;http://sw.opencyc.org/2008/06/10/concept/en/Engineer;2;(with;inf)
842;http://sw.opencyc.org/2008/06/10/concept/en/Entertainer;2;(no;inf)
851;http://umbel.org/umbel/sc/FamilyRelationsConcept;2;(no;inf)
